_id,Date,Price,Open,High,Low,Vol,Change,Exchange,Country,Currency,Source
ObjectId("5c6f6bf1afdb6c3febf80548"),""2018-07-10T00:00:00.000Z"",32884.11,33340,33340,32884.11,670,-1.3,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80549"),""2018-07-09T00:00:00.000Z"",33316.25,32882,33340,32882,4480,2.14,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8054a"),""2018-07-06T00:00:00.000Z"",32618.66,32566,32720,32546,2290,-0.16,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8054b"),""2018-07-05T00:00:00.000Z"",32670,33150,33150,32406,6970,-1.82,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8054c"),""2018-07-03T00:00:00.000Z"",33276,33715.85,33850,33234.85,1030,-2.67,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8054d"),""2018-07-02T00:00:00.000Z"",34189.96,33903.55,34240,33903.55,9980,0.84,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8054e"),""2018-06-29T00:00:00.000Z"",33903.55,33840,34043.54,33530,4650,0.83,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8054f"),""2018-06-28T00:00:00.000Z"",33625.45,33155.72,33650,33155.72,7950,0.14,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80550"),""2018-06-27T00:00:00.000Z"",33578.38,34100,34120.5,33560,890,-0.48,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80551"),""2018-06-26T00:00:00.000Z"",33740.97,33125.3,33820,33125.3,1790,2.22,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80552"),""2018-06-25T00:00:00.000Z"",33009.23,34383.34,34383.34,32824.34,2410,-4.04,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80553"),""2018-06-22T00:00:00.000Z"",34399.26,35000.01,35000.01,34383.34,6110,-2.07,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80554"),""2018-06-21T00:00:00.000Z"",35127.23,35500.01,35532.1,35083,2280,-1.7,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80555"),""2018-06-20T00:00:00.000Z"",35734.23,35553,35900,35553,7780,0.27,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80556"),""2018-06-19T00:00:00.000Z"",35636.66,35290,35654.4,35060,1840,0.41,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80557"),""2018-06-18T00:00:00.000Z"",35490,35612,35698.85,35352,1530,0.08,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80558"),""2018-06-15T00:00:00.000Z"",35461.37,35881,35881,35435,1810,-1.17,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80559"),""2018-06-14T00:00:00.000Z"",35881.98,35310,35881.98,35310,2080,1.5,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8055a"),""2018-06-13T00:00:00.000Z"",35350,35334.01,35524.42,35170.46,1230,0.8,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8055b"),""2018-06-12T00:00:00.000Z"",35070,34923,35130,34857,1060,0.73,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8055c"),""2018-06-11T00:00:00.000Z"",34814.44,34500,34833.5,34470,620,1.95,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8055d"),""2018-06-08T00:00:00.000Z"",34150,34390.26,34643,34150,1840,-1.39,BMV,Mexico,MXN,Investing.com
