Date,Open,High,Low,Price,Vol.,Change %,Exchange,Country,Currency
9/11/2018,1928.27002,1988.880005,1917,1987.150024,5033600,2.48%,NASDAQ,USA,USD
9/12/2018,1994,2000,1962.439941,1990,4414000,0.14%,NASDAQ,USA,USD
9/13/2018,2000,2008.76001,1982.030029,1989.869995,3621500,-0.01%,NASDAQ,USA,USD
9/14/2018,1992.930054,1993.650024,1959.219971,1970.189941,3642000,-0.99%,NASDAQ,USA,USD
9/17/2018,1954.72998,1956.819946,1887.410034,1908.030029,7050200,-3.16%,NASDAQ,USA,USD
9/18/2018,1918.650024,1958.199951,1915.439941,1941.050049,4268700,1.73%,NASDAQ,USA,USD
9/19/2018,1940.5,1940.829956,1904.900024,1926.420044,4056800,-0.75%,NASDAQ,USA,USD
9/20/2018,1938.579956,1955,1932.25,1944.300049,3154900,0.93%,NASDAQ,USA,USD
9/21/2018,1954.219971,1957.310059,1910.5,1915.01001,6855900,-1.51%,NASDAQ,USA,USD
9/24/2018,1903.790039,1936.880005,1865,1934.359985,4213700,1.01%,NASDAQ,USA,USD
9/25/2018,1942.900024,1975.910034,1938.849976,1974.550049,4538400,2.08%,NASDAQ,USA,USD
9/26/2018,1968.5,1995.25,1961.52002,1974.849976,4313500,0.02%,NASDAQ,USA,USD
9/27/2018,1993.23999,2016.160034,1988.579956,2012.97998,4329400,1.93%,NASDAQ,USA,USD
9/28/2018,2004.410034,2026.52002,1996.459961,2003,4085100,-0.50%,NASDAQ,USA,USD
10/1/2018,2021.98999,2033.189941,2003.599976,2004.359985,3460500,0.07%,NASDAQ,USA,USD
10/2/2018,1999.98999,2013.390015,1965.77002,1971.310059,5400700,-1.65%,NASDAQ,USA,USD
10/3/2018,1981.699951,1989.699951,1949.810059,1952.76001,5253100,-0.94%,NASDAQ,USA,USD
10/4/2018,1949,1956,1896.569946,1909.420044,7257000,-2.22%,NASDAQ,USA,USD
10/5/2018,1917.98999,1929.079956,1862.829956,1889.650024,6822300,-1.04%,NASDAQ,USA,USD
10/8/2018,1874,1902,1830.660034,1864.420044,7393200,-1.34%,NASDAQ,USA,USD
10/9/2018,1859.98999,1896.680054,1852.319946,1870.319946,4772900,0.32%,NASDAQ,USA,USD
10/10/2018,1857.890015,1858.560059,1754.410034,1755.25,10988900,-6.15%,NASDAQ,USA,USD
10/11/2018,1724,1755.400024,1685.099976,1719.359985,13935900,-2.04%,NASDAQ,USA,USD
10/12/2018,1808,1808.949951,1742.530029,1788.609985,9444600,4.03%,NASDAQ,USA,USD
10/15/2018,1795,1795.050049,1734.22998,1760.949951,6437200,-1.55%,NASDAQ,USA,USD
10/16/2018,1783.5,1823.880005,1761.550049,1819.959961,5859900,3.35%,NASDAQ,USA,USD
10/17/2018,1842.790039,1845,1807,1831.72998,5295200,0.65%,NASDAQ,USA,USD
10/18/2018,1821.48999,1830.150024,1767.869995,1770.719971,5874000,-3.33%,NASDAQ,USA,USD
10/19/2018,1785.160034,1809.099976,1753,1764.030029,5907200,-0.38%,NASDAQ,USA,USD
10/22/2018,1784,1809.5,1756,1789.300049,4500000,1.43%,NASDAQ,USA,USD
10/23/2018,1742.23999,1776.339966,1714,1768.699951,6723900,-1.15%,NASDAQ,USA,USD
