Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
25-Jul-18,"1,830.00","1,830.00","1,830.00","1,830.00",0.02K,0.00%,SIX,Switzerland,CHF
24-Jul-18,"1,830.00","1,810.00","1,840.00","1,810.00",0.11K,2.23%,SIX,Switzerland,CHF
23-Jul-18,"1,790.00","1,810.00","1,810.00","1,780.00",0.04K,-2.19%,SIX,Switzerland,CHF
20-Jul-18,"1,830.00","1,840.00","1,840.00","1,830.00",0.02K,0.55%,SIX,Switzerland,CHF
19-Jul-18,"1,820.00","1,840.00","1,860.00","1,820.00",0.07K,-1.62%,SIX,Switzerland,CHF
18-Jul-18,"1,850.00","1,840.00","1,860.00","1,840.00",0.33K,0.54%,SIX,Switzerland,CHF
17-Jul-18,"1,840.00","1,790.00","1,840.00","1,790.00",0.24K,1.10%,SIX,Switzerland,CHF
16-Jul-18,"1,820.00","1,820.00","1,840.00","1,800.00",0.35K,-0.55%,SIX,Switzerland,CHF
13-Jul-18,"1,830.00","1,790.00","1,830.00","1,790.00",0.03K,2.23%,SIX,Switzerland,CHF
12-Jul-18,"1,790.00","1,740.00","1,790.00","1,740.00",0.02K,2.87%,SIX,Switzerland,CHF
11-Jul-18,"1,740.00","1,720.00","1,740.00","1,710.00",0.11K,0.58%,SIX,Switzerland,CHF
10-Jul-18,"1,730.00","1,720.00","1,730.00","1,720.00",0.07K,1.17%,SIX,Switzerland,CHF
9-Jul-18,"1,710.00","1,700.00","1,710.00","1,690.00",0.01K,1.18%,SIX,Switzerland,CHF
6-Jul-18,"1,690.00","1,690.00","1,690.00","1,690.00",0.00K,1.20%,SIX,Switzerland,CHF
5-Jul-18,"1,670.00","1,680.00","1,700.00","1,670.00",0.01K,-1.76%,SIX,Switzerland,CHF
3-Jul-18,"1,700.00","1,710.00","1,720.00","1,700.00",0.01K,0.00%,SIX,Switzerland,CHF
2-Jul-18,"1,700.00","1,690.00","1,700.00","1,690.00",0.01K,-0.58%,SIX,Switzerland,CHF
29-Jun-18,"1,710.00","1,720.00","1,720.00","1,700.00",0.06K,1.79%,SIX,Switzerland,CHF
28-Jun-18,"1,680.00","1,680.00","1,700.00","1,680.00",0.02K,-1.75%,SIX,Switzerland,CHF
27-Jun-18,"1,710.00","1,680.00","1,710.00","1,680.00",0.34K,3.64%,SIX,Switzerland,CHF
26-Jun-18,"1,650.00","1,650.00","1,660.00","1,640.00",0.07K,-1.20%,SIX,Switzerland,CHF
25-Jun-18,"1,670.00","1,690.00","1,690.00","1,630.00",0.27K,-2.91%,SIX,Switzerland,CHF
22-Jun-18,"1,720.00","1,720.00","1,730.00","1,700.00",0.10K,-0.58%,SIX,Switzerland,CHF
21-Jun-18,"1,730.00","1,760.00","1,760.00","1,730.00",0.07K,-1.14%,SIX,Switzerland,CHF
20-Jun-18,"1,750.00","1,750.00","1,760.00","1,740.00",0.31K,3.55%,SIX,Switzerland,CHF
19-Jun-18,"1,690.00","1,690.00","1,710.00","1,690.00",55.07K,-1.74%,SIX,Switzerland,CHF
18-Jun-18,"1,720.00","1,720.00","1,720.00","1,700.00",0.07K,0.00%,SIX,Switzerland,CHF
15-Jun-18,"1,720.00","1,720.00","1,720.00","1,700.00",0.02K,0.00%,SIX,Switzerland,CHF
14-Jun-18,"1,720.00","1,680.00","1,720.00","1,660.00",0.12K,1.78%,SIX,Switzerland,CHF
13-Jun-18,"1,690.00","1,690.00","1,690.00","1,670.00",55.03K,0.60%,SIX,Switzerland,CHF
12-Jun-18,"1,680.00","1,670.00","1,680.00","1,670.00",0.02K,0.60%,SIX,Switzerland,CHF
11-Jun-18,"1,670.00","1,670.00","1,680.00","1,670.00",0.09K,0.00%,SIX,Switzerland,CHF
8-Jun-18,"1,670.00","1,660.00","1,670.00","1,650.00",0.03K,0.60%,SIX,Switzerland,CHF
7-Jun-18,"1,660.00","1,680.00","1,680.00","1,630.00",0.06K,0.00%,SIX,Switzerland,CHF
6-Jun-18,"1,660.00","1,670.00","1,700.00","1,660.00",0.07K,-0.60%,SIX,Switzerland,CHF
5-Jun-18,"1,670.00","1,640.00","1,670.00","1,640.00",0.34K,3.09%,SIX,Switzerland,CHF
4-Jun-18,"1,620.00","1,630.00","1,630.00","1,620.00",0.08K,0.00%,SIX,Switzerland,CHF
1-Jun-18,"1,620.00","1,600.00","1,620.00","1,600.00",0.05K,0.00%,SIX,Switzerland,CHF
31-May-18,"1,620.00","1,620.00","1,620.00","1,590.00",0.01K,0.62%,SIX,Switzerland,CHF
30-May-18,"1,610.00","1,620.00","1,620.00","1,600.00",0.03K,1.90%,SIX,Switzerland,CHF
29-May-18,"1,580.00","1,610.00","1,610.00","1,580.00",0.01K,-0.63%,SIX,Switzerland,CHF
28-May-18,"1,590.00","1,610.00","1,610.00","1,590.00",0.01K,-1.24%,SIX,Switzerland,CHF
25-May-18,"1,610.00","1,590.00","1,610.00","1,590.00",0.02K,1.26%,SIX,Switzerland,CHF
24-May-18,"1,590.00","1,600.00","1,600.00","1,590.00",0.13K,1.92%,SIX,Switzerland,CHF
23-May-18,"1,560.00","1,570.00","1,570.00","1,550.00",0.06K,-0.64%,SIX,Switzerland,CHF
22-May-18,"1,570.00","1,580.00","1,600.00","1,570.00",0.09K,0.64%,SIX,Switzerland,CHF
18-May-18,"1,560.00","1,590.00","1,600.00","1,560.00",0.04K,-1.89%,SIX,Switzerland,CHF
17-May-18,"1,590.00","1,590.00","1,590.00","1,590.00",0.01K,0.00%,SIX,Switzerland,CHF
16-May-18,"1,590.00","1,590.00","1,590.00","1,590.00",0.08K,1.27%,SIX,Switzerland,CHF
15-May-18,"1,570.00","1,620.00","1,620.00","1,570.00",0.05K,-3.09%,SIX,Switzerland,CHF
14-May-18,"1,620.00","1,620.00","1,620.00","1,600.00",0.19K,0.00%,SIX,Switzerland,CHF
11-May-18,"1,620.00","1,630.00","1,630.00","1,600.00",0.01K,0.62%,SIX,Switzerland,CHF
9-May-18,"1,610.00","1,600.00","1,610.00","1,590.00",0.02K,0.00%,SIX,Switzerland,CHF
8-May-18,"1,610.00","1,590.00","1,610.00","1,590.00",0.00K,0.00%,SIX,Switzerland,CHF
7-May-18,"1,610.00","1,580.00","1,610.00","1,580.00",0.07K,2.55%,SIX,Switzerland,CHF
4-May-18,"1,570.00","1,580.00","1,580.00","1,560.00",0.04K,1.29%,SIX,Switzerland,CHF
3-May-18,"1,550.00","1,580.00","1,580.00","1,550.00",0.06K,-2.52%,SIX,Switzerland,CHF
2-May-18,"1,590.00","1,600.00","1,600.00","1,580.00",0.08K,1.92%,SIX,Switzerland,CHF
30-Apr-18,"1,560.00","1,580.00","1,580.00","1,560.00",0.07K,-0.64%,SIX,Switzerland,CHF
27-Apr-18,"1,570.00","1,570.00","1,640.00","1,570.00",0.34K,7.53%,SIX,Switzerland,CHF
26-Apr-18,"1,460.00","1,450.00","1,470.00","1,450.00",0.01K,0.69%,SIX,Switzerland,CHF
25-Apr-18,"1,450.00","1,430.00","1,450.00","1,390.00",0.16K,0.69%,SIX,Switzerland,CHF
24-Apr-18,"1,440.00","1,500.00","1,510.00","1,440.00",0.04K,-3.36%,SIX,Switzerland,CHF
23-Apr-18,"1,490.00","1,490.00","1,490.00","1,490.00",0.03K,-1.97%,SIX,Switzerland,CHF
20-Apr-18,"1,520.00","1,520.00","1,520.00","1,490.00",0.78K,0.66%,SIX,Switzerland,CHF
19-Apr-18,"1,510.00","1,500.00","1,510.00","1,500.00",0.03K,2.03%,SIX,Switzerland,CHF
18-Apr-18,"1,480.00","1,450.00","1,480.00","1,450.00",0.07K,5.71%,SIX,Switzerland,CHF
17-Apr-18,"1,400.00","1,380.00","1,400.00","1,380.00",0.00K,1.45%,SIX,Switzerland,CHF
16-Apr-18,"1,380.00","1,400.00","1,400.00","1,380.00",0.03K,-1.43%,SIX,Switzerland,CHF
13-Apr-18,"1,400.00","1,400.00","1,400.00","1,400.00",0.01K,0.72%,SIX,Switzerland,CHF
12-Apr-18,"1,390.00","1,380.00","1,390.00","1,380.00",0.08K,0.72%,SIX,Switzerland,CHF
11-Apr-18,"1,380.00","1,380.00","1,380.00","1,380.00",0.08K,2.22%,SIX,Switzerland,CHF
10-Apr-18,"1,350.00","1,350.00","1,350.00","1,350.00",0.01K,0.00%,SIX,Switzerland,CHF
9-Apr-18,"1,350.00","1,380.00","1,380.00","1,350.00",0.01K,-2.88%,SIX,Switzerland,CHF
6-Apr-18,"1,390.00","1,390.00","1,390.00","1,380.00",0.05K,0.72%,SIX,Switzerland,CHF
5-Apr-18,"1,380.00","1,390.00","1,400.00","1,370.00",0.03K,6.15%,SIX,Switzerland,CHF
4-Apr-18,"1,300.00","1,330.00","1,340.00","1,290.00",0.02K,0.00%,SIX,Switzerland,CHF
3-Apr-18,"1,300.00","1,320.00","1,330.00","1,300.00",0.13K,-2.99%,SIX,Switzerland,CHF
29-Mar-18,"1,340.00","1,360.00","1,390.00","1,320.00",0.16K,-0.74%,SIX,Switzerland,CHF
28-Mar-18,"1,350.00","1,430.00","1,430.00","1,350.00",0.15K,-10.00%,SIX,Switzerland,CHF
27-Mar-18,"1,500.00","1,480.00","1,500.00","1,480.00",0.03K,5.63%,SIX,Switzerland,CHF
26-Mar-18,"1,420.00","1,450.00","1,450.00","1,420.00",0.08K,-2.07%,SIX,Switzerland,CHF
23-Mar-18,"1,450.00","1,460.00","1,460.00","1,430.00",0.12K,-1.36%,SIX,Switzerland,CHF
22-Mar-18,"1,470.00","1,510.00","1,510.00","1,470.00",0.09K,-4.55%,SIX,Switzerland,CHF
21-Mar-18,"1,540.00","1,540.00","1,540.00","1,540.00",0.00K,6.94%,SIX,Switzerland,CHF
19-Mar-18,"1,440.00","1,490.00","1,490.00","1,440.00",0.09K,-5.26%,SIX,Switzerland,CHF
16-Mar-18,"1,520.00","1,520.00","1,520.00","1,520.00",0.06K,0.66%,SIX,Switzerland,CHF
15-Mar-18,"1,510.00","1,520.00","1,520.00","1,490.00",0.10K,-0.66%,SIX,Switzerland,CHF
14-Mar-18,"1,520.00","1,510.00","1,520.00","1,490.00",0.12K,2.70%,SIX,Switzerland,CHF
13-Mar-18,"1,480.00","1,540.00","1,540.00","1,480.00",0.14K,-3.27%,SIX,Switzerland,CHF
12-Mar-18,"1,530.00","1,500.00","1,530.00","1,500.00",0.11K,2.00%,SIX,Switzerland,CHF
9-Mar-18,"1,500.00","1,470.00","1,500.00","1,470.00",0.04K,2.04%,SIX,Switzerland,CHF
8-Mar-18,"1,470.00","1,460.00","1,470.00","1,460.00",0.06K,0.68%,SIX,Switzerland,CHF
7-Mar-18,"1,460.00","1,420.00","1,460.00","1,420.00",0.07K,0.69%,SIX,Switzerland,CHF
6-Mar-18,"1,450.00","1,450.00","1,450.00","1,430.00",0.14K,4.32%,SIX,Switzerland,CHF
5-Mar-18,"1,390.00","1,380.00","1,420.00","1,380.00",0.11K,0.00%,SIX,Switzerland,CHF
