Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
23-Nov-18,"1,339.40","1,319.49","1,353.13","1,315.05",6.82K,2.01%,XETRA,Germany,EUR
22-Nov-18,"1,313.00","1,335.99","1,335.99","1,310.42",5.44K,-2.42%,XETRA,Germany,EUR
21-Nov-18,"1,345.56","1,324.79","1,358.64","1,322.68",8.37K,1.11%,XETRA,Germany,EUR
20-Nov-18,"1,330.81","1,290.10","1,338.08","1,246.00",27.16K,-1.14%,XETRA,Germany,EUR
19-Nov-18,"1,346.11","1,400.01","1,409.88","1,337.72",9.10K,-3.31%,XETRA,Germany,EUR
16-Nov-18,"1,392.25","1,412.79","1,416.99","1,379.41",5.29K,-0.30%,XETRA,Germany,EUR
15-Nov-18,"1,396.44","1,430.43","1,434.72","1,367.40",12.61K,-2.85%,XETRA,Germany,EUR
14-Nov-18,"1,437.46","1,440.00","1,480.00","1,429.34",4.56K,-2.36%,XETRA,Germany,EUR
13-Nov-18,"1,472.20","1,464.00","1,485.94","1,434.00",8.25K,1.04%,XETRA,Germany,EUR
12-Nov-18,"1,457.03","1,533.50","1,536.88","1,450.00",9.38K,-3.95%,XETRA,Germany,EUR
9-Nov-18,"1,516.95","1,536.99","1,540.45","1,508.16",7.45K,-2.00%,XETRA,Germany,EUR
8-Nov-18,"1,547.87","1,546.90","1,560.45","1,510.00",12.34K,3.33%,XETRA,Germany,EUR
7-Nov-18,"1,497.99","1,441.99","1,507.43","1,441.99",10.43K,4.28%,XETRA,Germany,EUR
6-Nov-18,"1,436.53","1,432.01","1,457.81","1,413.71",6.05K,2.10%,XETRA,Germany,EUR
5-Nov-18,"1,406.94","1,469.00","1,473.97","1,400.01",7.62K,-4.24%,XETRA,Germany,EUR
2-Nov-18,"1,469.17","1,473.50","1,486.59","1,450.00",12.40K,2.91%,XETRA,Germany,EUR
1-Nov-18,"1,427.57","1,411.49","1,430.58","1,403.98",10.98K,1.19%,XETRA,Germany,EUR
31-Oct-18,"1,410.78","1,376.40","1,434.84","1,369.39",16.92K,5.31%,XETRA,Germany,EUR
30-Oct-18,"1,339.69","1,361.00","1,365.00","1,292.68",27.94K,-2.49%,XETRA,Germany,EUR
29-Oct-18,"1,373.91","1,445.00","1,468.00","1,355.86",12.30K,-4.89%,XETRA,Germany,EUR
