Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
9-Nov-18,"34,588.06","35,390.00","35,390.00","34,560.00",10.41K,-1.99%,BMV,Mexico,MXN
8-Nov-18,"35,290.00","34,850.00","35,724.00","34,680.00",7.68K,1.48%,BMV,Mexico,MXN
7-Nov-18,"34,775.62","33,000.00","34,824.99","32,996.00",8.08K,7.27%,BMV,Mexico,MXN
6-Nov-18,"32,420.00","32,500.00","32,800.00","32,390.00",1.50K,-0.25%,BMV,Mexico,MXN
5-Nov-18,"32,500.00","33,399.00","33,399.00","31,925.00",3.75K,-3.17%,BMV,Mexico,MXN
1-Nov-18,"33,565.64","32,610.00","33,603.00","32,280.50",17.51K,3.12%,BMV,Mexico,MXN
31-Oct-18,"32,550.92","31,950.00","32,900.00","31,950.00",6.59K,6.54%,BMV,Mexico,MXN
30-Oct-18,"30,553.00","30,100.00","30,595.00","29,810.00",9.73K,0.25%,BMV,Mexico,MXN
29-Oct-18,"30,476.40","32,600.00","32,600.00","30,348.00",2.89K,-3.91%,BMV,Mexico,MXN
26-Oct-18,"31,715.45","32,300.00","33,016.70","31,480.00",6.44K,-8.66%,BMV,Mexico,MXN
25-Oct-18,"34,720.64","33,350.00","34,885.00","33,160.00",11.89K,5.62%,BMV,Mexico,MXN
24-Oct-18,"32,872.09","34,270.00","34,270.00","32,500.00",2.37K,-3.60%,BMV,Mexico,MXN
23-Oct-18,"34,100.00","33,780.00","34,220.00","33,485.00",4.36K,-2.01%,BMV,Mexico,MXN
22-Oct-18,"34,800.00","34,239.00","34,929.06","34,072.00",1.03K,2.29%,BMV,Mexico,MXN
19-Oct-18,"34,020.00","33,852.00","34,540.00","33,800.00",1.87K,0.32%,BMV,Mexico,MXN
18-Oct-18,"33,911.54","34,520.00","34,800.00","33,850.00",2.39K,-1.96%,BMV,Mexico,MXN
17-Oct-18,"34,589.40","34,380.00","34,600.00","34,188.57",1.93K,1.28%,BMV,Mexico,MXN
16-Oct-18,"34,153.52","33,422.00","34,220.00","33,131.37",3.89K,2.26%,BMV,Mexico,MXN
15-Oct-18,"33,400.00","32,985.00","33,500.00","32,720.00",1.22K,-1.01%,BMV,Mexico,MXN
12-Oct-18,"33,742.17","33,590.00","34,220.00","33,145.00",6.41K,3.04%,BMV,Mexico,MXN
11-Oct-18,"32,747.05","33,001.00","33,217.00","32,180.00",29.43K,-3.36%,BMV,Mexico,MXN
10-Oct-18,"33,887.10","35,350.00","35,350.00","33,764.00",6.74K,-4.81%,BMV,Mexico,MXN
9-Oct-18,"35,600.00","35,475.00","35,910.00","35,458.00",1.08K,0.75%,BMV,Mexico,MXN
8-Oct-18,"35,336.26","35,275.00","35,730.00","34,686.00",2.32K,-1.03%,BMV,Mexico,MXN
5-Oct-18,"35,703.00","36,250.00","36,250.00","35,350.00",2.77K,-2.21%,BMV,Mexico,MXN
4-Oct-18,"36,510.65","36,720.00","36,850.00","36,340.00",5.92K,-1.72%,BMV,Mexico,MXN
3-Oct-18,"37,150.00","37,230.00","37,284.68","36,500.01",2.80K,-0.18%,BMV,Mexico,MXN
2-Oct-18,"37,217.00","37,315.00","37,762.00","37,035.00",0.49K,-0.95%,BMV,Mexico,MXN
1-Oct-18,"37,573.00","37,700.02","37,845.00","37,520.00",0.59K,0.16%,BMV,Mexico,MXN
28-Sep-18,"37,514.57","37,560.00","37,820.00","37,430.00",4.29K,-0.85%,BMV,Mexico,MXN
27-Sep-18,"37,838.00","37,720.00","37,930.00","37,650.00",7.99K,1.62%,BMV,Mexico,MXN
26-Sep-18,"37,233.65","37,455.00","37,650.00","37,220.40",2.06K,-0.73%,BMV,Mexico,MXN
25-Sep-18,"37,509.09","37,037.35","37,530.00","36,864.47",1.52K,2.34%,BMV,Mexico,MXN
24-Sep-18,"36,650.00","35,588.00","36,650.00","35,588.00",5.21K,1.99%,BMV,Mexico,MXN
21-Sep-18,"35,934.46","36,880.00","36,880.00","35,906.69",3.14K,-2.06%,BMV,Mexico,MXN
20-Sep-18,"36,690.50","36,354.60","36,850.00","36,354.60",1.25K,1.34%,BMV,Mexico,MXN
19-Sep-18,"36,204.09","36,000.00","36,224.74","35,850.00",1.74K,-0.77%,BMV,Mexico,MXN
18-Sep-18,"36,485.00","36,280.00","36,695.27","36,280.00",1.07K,1.48%,BMV,Mexico,MXN
17-Sep-18,"35,951.92","37,099.00","37,099.00","35,628.43",5.87K,-3.28%,BMV,Mexico,MXN
14-Sep-18,"37,170.00","37,323.94","37,388.00","36,947.31",0.90K,-0.72%,BMV,Mexico,MXN
13-Sep-18,"37,441.34","37,861.20","37,880.00","37,301.00",2.19K,-1.14%,BMV,Mexico,MXN
12-Sep-18,"37,874.90","38,062.00","38,062.00","37,530.00",2.83K,-0.85%,BMV,Mexico,MXN
11-Sep-18,"38,198.66","37,760.40","38,215.00","37,494.00",1.92K,2.30%,BMV,Mexico,MXN
10-Sep-18,"37,340.78","37,953.65","37,953.65","37,292.07",2.06K,-1.12%,BMV,Mexico,MXN
7-Sep-18,"37,765.00","37,450.00","38,071.81","37,400.00",1.21K,0.49%,BMV,Mexico,MXN
6-Sep-18,"37,580.63","38,507.04","38,507.04","37,551.39",1.78K,-2.50%,BMV,Mexico,MXN
5-Sep-18,"38,546.20","39,587.00","39,587.00","38,470.00",1.92K,-2.63%,BMV,Mexico,MXN
4-Sep-18,"39,587.00","39,150.00","39,695.00","39,150.00",1.01K,3.05%,BMV,Mexico,MXN
31-Aug-18,"38,414.84","38,611.24","38,741.84","38,314.00",6.19K,0.39%,BMV,Mexico,MXN
30-Aug-18,"38,266.00","38,170.00","38,740.00","37,913.40",3.95K,1.29%,BMV,Mexico,MXN
29-Aug-18,"37,777.76","37,200.10","37,928.00","37,200.10",4.76K,2.66%,BMV,Mexico,MXN
28-Aug-18,"36,799.40","36,330.97","36,970.31","36,330.97",1.47K,1.81%,BMV,Mexico,MXN
27-Aug-18,"36,145.00","35,862.44","36,149.00","35,760.00",1.21K,0.05%,BMV,Mexico,MXN
24-Aug-18,"36,128.00","36,075.00","36,128.00","35,880.11",0.48K,-0.39%,BMV,Mexico,MXN
23-Aug-18,"36,271.01","35,904.34","36,300.00","35,904.34",2.47K,1.52%,BMV,Mexico,MXN
22-Aug-18,"35,727.19","35,500.00","35,821.65","35,500.00",1.80K,0.40%,BMV,Mexico,MXN
21-Aug-18,"35,586.16","35,711.00","35,796.00","35,558.00",2.03K,-0.35%,BMV,Mexico,MXN
20-Aug-18,"35,711.00","35,582.20","35,877.66","35,582.20",0.87K,0.48%,BMV,Mexico,MXN
17-Aug-18,"35,540.00","35,869.53","35,869.53","35,500.00",0.56K,-0.96%,BMV,Mexico,MXN
16-Aug-18,"35,882.84","36,150.00","36,242.39","35,847.63",6.04K,-0.97%,BMV,Mexico,MXN
15-Aug-18,"36,233.57","36,500.00","36,576.00","36,000.00",0.75K,-0.07%,BMV,Mexico,MXN
14-Aug-18,"36,260.00","36,310.00","36,460.00","36,148.78",1.61K,0.00%,BMV,Mexico,MXN
13-Aug-18,"36,260.00","36,140.00","36,818.40","36,140.00",1.65K,1.43%,BMV,Mexico,MXN
10-Aug-18,"35,750.00","35,690.00","36,000.00","35,569.21",5.19K,0.73%,BMV,Mexico,MXN
9-Aug-18,"35,490.00","34,970.00","35,695.00","34,970.00",1.18K,1.89%,BMV,Mexico,MXN
8-Aug-18,"34,833.00","34,521.02","34,840.00","34,516.00",5.93K,1.30%,BMV,Mexico,MXN
7-Aug-18,"34,385.19","34,265.00","34,558.00","34,214.00",0.91K,0.67%,BMV,Mexico,MXN
6-Aug-18,"34,155.00","33,990.00","34,163.00","33,878.42",0.82K,0.90%,BMV,Mexico,MXN
3-Aug-18,"33,850.00","34,120.00","34,190.87","33,837.00",1.10K,-0.92%,BMV,Mexico,MXN
2-Aug-18,"34,163.34","33,462.00","34,200.00","33,462.00",1.82K,2.24%,BMV,Mexico,MXN
1-Aug-18,"33,413.56","33,330.00","33,436.90","33,150.00",1.22K,1.18%,BMV,Mexico,MXN
31-Jul-18,"33,025.23","33,296.00","33,405.00","32,800.00",1.19K,0.36%,BMV,Mexico,MXN
30-Jul-18,"32,906.63","33,700.00","33,700.00","32,800.00",2.91K,-2.74%,BMV,Mexico,MXN
27-Jul-18,"33,832.75","34,900.00","34,998.96","33,653.60",1.43K,0.45%,BMV,Mexico,MXN
26-Jul-18,"33,679.75","34,520.00","34,520.00","33,668.00",16.03K,-2.96%,BMV,Mexico,MXN
